The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Returns,1+Vwretd,1+SPrtrn
GreenSky Inc,5/24/2018,17795,10/25/2018,0.002985,0.017448,0.018625,,,1.002985,1.017448,1.018625
GreenSky Inc,5/24/2018,17795,10/26/2018,-0.056548,-0.015512,-0.017327,,,0.943452,0.984488,0.982673
GreenSky Inc,5/24/2018,17795,10/29/2018,-0.045741,-0.006987,-0.00656,,,0.954259,0.993013,0.99344
GreenSky Inc,5/24/2018,17795,10/30/2018,0.039669,0.015604,0.015667,,,1.039669,1.015604,1.015667
GreenSky Inc,5/24/2018,17795,10/31/2018,0.047695,0.010455,0.010851,,,1.047695,1.010455,1.010851
GreenSky Inc,5/24/2018,17795,11/1/2018,0.061457,0.013011,0.010558,,,1.061457,1.013011,1.010558
GreenSky Inc,5/24/2018,17795,11/2/2018,0.032881,-0.004779,-0.006317,,,1.032881,0.995221,0.993683
GreenSky Inc,5/24/2018,17795,11/5/2018,0.014533,0.004439,0.0056,,,1.014533,1.004439,1.0056
GreenSky Inc,5/24/2018,17795,11/6/2018,-0.366985,0.005704,0.006259,,,0.633015,1.005704,1.006259
GreenSky Inc,5/24/2018,17795,11/7/2018,-0.012931,0.019256,0.021209,,,0.987069,1.019256,1.021209
GreenSky Inc,5/24/2018,17795,11/8/2018,0.027293,-0.002936,-0.002509,,,1.027293,0.997064,0.997491
GreenSky Inc,5/24/2018,17795,11/9/2018,0.031881,-0.009721,-0.009199,,,1.031881,0.990279,0.990801
GreenSky Inc,5/24/2018,17795,11/12/2018,0.021627,-0.018878,-0.019701,,,1.021627,0.981122,0.980299
GreenSky Inc,5/24/2018,17795,11/13/2018,-0.012097,-0.001188,-0.001482,,,0.987903,0.998812,0.998518
GreenSky Inc,5/24/2018,17795,11/14/2018,-0.036735,-0.006557,-0.007567,,,0.963265,0.993443,0.992433
GreenSky Inc,5/24/2018,17795,11/15/2018,0.027542,0.010788,0.010594,,,1.027542,1.010788,1.010594
GreenSky Inc,5/24/2018,17795,11/16/2018,-0.021649,0.002082,0.002223,,,0.978351,1.002082,1.002223
GreenSky Inc,5/24/2018,17795,11/19/2018,-0.05058,-0.016575,-0.016643,,,0.94942,0.983425,0.983357
GreenSky Inc,5/24/2018,17795,11/20/2018,-0.005549,-0.017946,-0.018151,,,0.994451,0.982054,0.981849
GreenSky Inc,5/24/2018,17795,11/21/2018,0.029018,0.00622,0.003043,-0.311940068,6,1.029018,1.00622,1.003043
GreenSky Inc,5/24/2018,17795,11/23/2018,-0.008677,-0.00556,-0.006555,,,0.991323,0.99444,0.993445
GreenSky Inc,5/24/2018,17795,11/26/2018,0,0.014598,0.015532,,,1,1.014598,1.015532
GreenSky Inc,5/24/2018,17795,11/27/2018,0.030635,0.000513,0.003262,,,1.030635,1.000513,1.003262
GreenSky Inc,5/24/2018,17795,11/28/2018,-0.0138,0.022306,0.022974,,,0.9862,1.022306,1.022974
GreenSky Inc,5/24/2018,17795,11/29/2018,0,-0.001759,-0.002198,,,1,0.998241,0.997802
GreenSky Inc,5/24/2018,17795,11/30/2018,0.002153,0.006818,0.008186,,,1.002153,1.006818,1.008186
GreenSky Inc,5/24/2018,17795,12/3/2018,-0.002148,0.011443,0.010941,,,0.997852,1.011443,1.010941
GreenSky Inc,5/24/2018,17795,12/4/2018,-0.041981,-0.031761,-0.032365,,,0.958019,0.968239,0.967635
GreenSky Inc,5/24/2018,17795,12/6/2018,0.010112,-0.001887,-0.001522,,,1.010112,0.998113,0.998478
GreenSky Inc,5/24/2018,17795,12/7/2018,0.001112,-0.021063,-0.02332,,,1.001112,0.978937,0.97668
GreenSky Inc,5/24/2018,17795,12/10/2018,0.028889,-0.000255,0.001762,,,1.028889,0.999745,1.001762
GreenSky Inc,5/24/2018,17795,12/11/2018,-0.028078,-0.000717,-0.000356,,,0.971922,0.999283,0.999644
GreenSky Inc,5/24/2018,17795,12/12/2018,0.022222,0.006327,0.005419,,,1.022222,1.006327,1.005419
GreenSky Inc,5/24/2018,17795,12/13/2018,-0.027174,-0.002157,-0.0002,,,0.972826,0.997843,0.9998
GreenSky Inc,5/24/2018,17795,12/14/2018,-0.032402,-0.0171,-0.019087,,,0.967598,0.9829,0.980913
GreenSky Inc,5/24/2018,17795,12/17/2018,-0.028868,-0.020886,-0.020773,,,0.971132,0.979114,0.979227
GreenSky Inc,5/24/2018,17795,12/18/2018,0.060642,-0.000164,0.000086,,,1.060642,0.999836,1.000086
GreenSky Inc,5/24/2018,17795,12/19/2018,0.012332,-0.014833,-0.015396,,,1.012332,0.985167,0.984604
GreenSky Inc,5/24/2018,17795,12/20/2018,-0.003322,-0.015372,-0.015772,,,0.996678,0.984628,0.984228
GreenSky Inc,5/24/2018,17795,12/21/2018,-0.037778,-0.020591,-0.020588,,,0.962222,0.979409,0.979412
GreenSky Inc,5/24/2018,17795,12/24/2018,0.064665,-0.024166,-0.027112,0.008753006,7,1.064665,0.975834,0.972888
GreenSky Inc,5/24/2018,17795,12/26/2018,0.028199,0.04686,0.049594,,,1.028199,1.04686,1.049594
GreenSky Inc,5/24/2018,17795,12/27/2018,-0.001055,0.006822,0.008563,,,0.998945,1.006822,1.008563
GreenSky Inc,5/24/2018,17795,12/28/2018,0.011616,0.000154,-0.001242,,,1.011616,1.000154,0.998758
GreenSky Inc,5/24/2018,17795,12/31/2018,-0.001044,0.008318,0.008492,,,0.998956,1.008318,1.008492
GreenSky Inc,5/24/2018,17795,1/2/2019,0.012539,0.001796,0.001269,,,1.012539,1.001796,1.001269
GreenSky Inc,5/24/2018,17795,1/3/2019,-0.014448,-0.021043,-0.024757,,,0.985552,0.978957,0.975243
GreenSky Inc,5/24/2018,17795,1/4/2019,0.035602,0.03341,0.034336,,,1.035602,1.03341,1.034336
GreenSky Inc,5/24/2018,17795,1/7/2019,0.017189,0.009202,0.00701,,,1.017189,1.009202,1.00701
GreenSky Inc,5/24/2018,17795,1/8/2019,0.000994,0.010269,0.009695,,,1.000994,1.010269,1.009695
GreenSky Inc,5/24/2018,17795,1/9/2019,0.002979,0.006199,0.004098,,,1.002979,1.006199,1.004098
GreenSky Inc,5/24/2018,17795,1/10/2019,-0.012871,0.004474,0.004518,,,0.987129,1.004474,1.004518
GreenSky Inc,5/24/2018,17795,1/11/2019,0.017051,-0.000152,-0.000146,,,1.017051,0.999848,0.999854
GreenSky Inc,5/24/2018,17795,1/14/2019,0.042406,-0.005465,-0.005258,,,1.042406,0.994535,0.994742
GreenSky Inc,5/24/2018,17795,1/15/2019,0.029328,0.009839,0.010722,,,1.029328,1.009839,1.010722
GreenSky Inc,5/24/2018,17795,1/16/2019,0.002757,0.003177,0.002222,,,1.002757,1.003177,1.002222
GreenSky Inc,5/24/2018,17795,1/17/2019,0.007333,0.007082,0.007591,,,1.007333,1.007082,1.007591
GreenSky Inc,5/24/2018,17795,1/18/2019,0.00182,0.012032,0.013183,,,1.00182,1.012032,1.013183
GreenSky Inc,5/24/2018,17795,1/22/2019,-0.000908,-0.01415,-0.014157,,,0.999092,0.98585,0.985843
GreenSky Inc,5/24/2018,17795,1/23/2019,0.008182,0.001313,0.002203,,,1.008182,1.001313,1.002203
GreenSky Inc,5/24/2018,17795,1/24/2019,0.004509,0.002789,0.001376,,,1.004509,1.002789,1.001376
GreenSky Inc,5/24/2018,17795,1/25/2019,0.017056,0.009553,0.008489,0.195148008,8,1.017056,1.009553,1.008489
GreenSky Inc,5/24/2018,17795,1/28/2019,-0.029126,-0.006493,-0.007847,,,0.970874,0.993507,0.992153
GreenSky Inc,5/24/2018,17795,1/29/2019,-0.002727,-0.000918,-0.001456,,,0.997273,0.999082,0.998544
GreenSky Inc,5/24/2018,17795,1/30/2019,-0.001823,0.014357,0.015549,,,0.998177,1.014357,1.015549
GreenSky Inc,5/24/2018,17795,1/31/2019,0.004566,0.008467,0.008597,,,1.004566,1.008467,1.008597
GreenSky Inc,5/24/2018,17795,2/1/2019,-0.002727,0.001418,0.000899,,,0.997273,1.001418,1.000899
GreenSky Inc,5/24/2018,17795,2/4/2019,0.013674,0.006692,0.006776,,,1.013674,1.006692,1.006776
GreenSky Inc,5/24/2018,17795,2/5/2019,0.008094,0.004392,0.004708,,,1.008094,1.004392,1.004708
GreenSky Inc,5/24/2018,17795,2/6/2019,-0.000892,-0.002529,-0.002224,,,0.999108,0.997471,0.997776
GreenSky Inc,5/24/2018,17795,2/7/2019,-0.035714,-0.008815,-0.009357,,,0.964286,0.991185,0.990643
GreenSky Inc,5/24/2018,17795,2/8/2019,0.023148,0.000651,0.000676,,,1.023148,1.000651,1.000676
GreenSky Inc,5/24/2018,17795,2/11/2019,0.028054,0.001262,0.000709,,,1.028054,1.001262,1.000709
GreenSky Inc,5/24/2018,17795,2/12/2019,-0.09419,0.012367,0.01289,,,0.90581,1.012367,1.01289
GreenSky Inc,5/24/2018,17795,2/13/2019,0.019436,0.002782,0.003024,,,1.019436,1.002782,1.003024
GreenSky Inc,5/24/2018,17795,2/14/2019,-0.001907,-0.001423,-0.002652,,,0.998093,0.998577,0.997348
GreenSky Inc,5/24/2018,17795,2/15/2019,-0.00382,0.010835,0.010879,,,0.99618,1.010835,1.010879
GreenSky Inc,5/24/2018,17795,2/19/2019,0.001917,0.002351,0.001499,,,1.001917,1.002351,1.001499
GreenSky Inc,5/24/2018,17795,2/20/2019,0.002871,0.002105,0.001777,,,1.002871,1.002105,1.001777
GreenSky Inc,5/24/2018,17795,2/21/2019,-0.010496,-0.003534,-0.003526,,,0.989504,0.996466,0.996474
GreenSky Inc,5/24/2018,17795,2/22/2019,0.012536,0.006367,0.006411,,,1.012536,1.006367,1.006411
GreenSky Inc,5/24/2018,17795,2/25/2019,-0.008571,0.001355,0.001232,,,0.991429,1.001355,1.001232
GreenSky Inc,5/24/2018,17795,2/26/2019,0.028818,-0.001496,-0.00079,-0.026362929,9,1.028818,0.998504,0.99921
GreenSky Inc,5/24/2018,17795,2/27/2019,-0.002801,0.000503,-0.000544,,,0.997199,1.000503,0.999456
GreenSky Inc,5/24/2018,17795,2/28/2019,0.058052,-0.002832,-0.002826,,,1.058052,0.997168,0.997174
GreenSky Inc,5/24/2018,17795,3/1/2019,0.027434,0.006074,0.006895,,,1.027434,1.006074,1.006895
GreenSky Inc,5/24/2018,17795,3/4/2019,-0.020672,-0.004235,-0.003881,,,0.979328,0.995765,0.996119
GreenSky Inc,5/24/2018,17795,3/5/2019,0.067722,-0.00132,-0.001131,,,1.067722,0.99868,0.998869
GreenSky Inc,5/24/2018,17795,3/6/2019,0.084843,-0.007768,-0.006524,,,1.084843,0.992232,0.993476
GreenSky Inc,5/24/2018,17795,3/7/2019,-0.047077,-0.007494,-0.008126,,,0.952923,0.992506,0.991874
GreenSky Inc,5/24/2018,17795,3/8/2019,0.020717,-0.0019,-0.002132,,,1.020717,0.9981,0.997868
GreenSky Inc,5/24/2018,17795,3/11/2019,0.028103,0.014348,0.014666,,,1.028103,1.014348,1.014666
GreenSky Inc,5/24/2018,17795,3/12/2019,-0.012908,0.002743,0.002953,,,0.987092,1.002743,1.002953
GreenSky Inc,5/24/2018,17795,3/13/2019,-0.003077,0.006419,0.00695,,,0.996923,1.006419,1.00695
GreenSky Inc,5/24/2018,17795,3/14/2019,-0.010031,-0.000989,-0.000868,,,0.989969,0.999011,0.999132
GreenSky Inc,5/24/2018,17795,3/15/2019,0.038192,0.004549,0.004985,,,1.038192,1.004549,1.004985
GreenSky Inc,5/24/2018,17795,3/18/2019,-0.012763,0.004449,0.003706,,,0.987237,1.004449,1.003706
GreenSky Inc,5/24/2018,17795,3/19/2019,0.012167,-0.000676,-0.000131,,,1.012167,0.999324,0.999869
GreenSky Inc,5/24/2018,17795,3/20/2019,-0.016529,-0.003146,-0.002944,,,0.983471,0.996854,0.997056
GreenSky Inc,5/24/2018,17795,3/21/2019,0.033613,0.010294,0.010853,,,1.033613,1.010294,1.010853
GreenSky Inc,5/24/2018,17795,3/22/2019,-0.04952,-0.020352,-0.018975,,,0.95048,0.979648,0.981025
GreenSky Inc,5/24/2018,17795,3/25/2019,-0.025661,-0.000328,-0.000839,,,0.974339,0.999672,0.999161
GreenSky Inc,5/24/2018,17795,3/26/2019,0.01676,0.007719,0.007183,,,1.01676,1.007719,1.007183
