The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Period,Month,1+Daily Return,1+Vwretd,1+SPrtrn
Construction Partners Inc,5/4/2018,17801,10/19/2018,-0.009718,-0.001816,-0.000361,,,0.990282,0.998184,0.999639
Construction Partners Inc,5/4/2018,17801,10/22/2018,-0.024534,-0.003901,-0.004299,,,0.975466,0.996099,0.995701
Construction Partners Inc,5/4/2018,17801,10/23/2018,-0.015091,-0.005977,-0.005512,,,0.984909,0.994023,0.994488
Construction Partners Inc,5/4/2018,17801,10/24/2018,-0.075587,-0.030628,-0.030864,,,0.924413,0.969372,0.969136
Construction Partners Inc,5/4/2018,17801,10/25/2018,-0.01768,0.017448,0.018625,,,0.98232,1.017448,1.018625
Construction Partners Inc,5/4/2018,17801,10/26/2018,-0.044994,-0.015512,-0.017327,,,0.955006,0.984488,0.982673
Construction Partners Inc,5/4/2018,17801,10/29/2018,0.037691,-0.006987,-0.00656,,,1.037691,0.993013,0.99344
Construction Partners Inc,5/4/2018,17801,10/30/2018,-0.029512,0.015604,0.015667,,,0.970488,1.015604,1.015667
Construction Partners Inc,5/4/2018,17801,10/31/2018,0.05731,0.010455,0.010851,,,1.05731,1.010455,1.010851
Construction Partners Inc,5/4/2018,17801,11/1/2018,0.033186,0.013011,0.010558,-0.199656893,6,1.033186,1.013011,1.010558
Construction Partners Inc,5/4/2018,17801,11/2/2018,0.027837,-0.004779,-0.006317,,,1.027837,0.995221,0.993683
Construction Partners Inc,5/4/2018,17801,11/5/2018,0.017708,0.004439,0.0056,,,1.017708,1.004439,1.0056
Construction Partners Inc,5/4/2018,17801,11/6/2018,0.019447,0.005704,0.006259,,,1.019447,1.005704,1.006259
Construction Partners Inc,5/4/2018,17801,11/7/2018,0.041165,0.019256,0.021209,,,1.041165,1.019256,1.021209
Construction Partners Inc,5/4/2018,17801,11/8/2018,-0.055931,-0.002936,-0.002509,,,0.944069,0.997064,0.997491
Construction Partners Inc,5/4/2018,17801,11/9/2018,-0.010215,-0.009721,-0.009199,,,0.989785,0.990279,0.990801
Construction Partners Inc,5/4/2018,17801,11/12/2018,0,-0.018878,-0.019701,,,1,0.981122,0.980299
Construction Partners Inc,5/4/2018,17801,11/13/2018,0.008256,-0.001188,-0.001482,,,1.008256,0.998812,0.998518
Construction Partners Inc,5/4/2018,17801,11/14/2018,-0.0174,-0.006557,-0.007567,,,0.9826,0.993443,0.992433
Construction Partners Inc,5/4/2018,17801,11/15/2018,0,0.010788,0.010594,,,1,1.010788,1.010594
Construction Partners Inc,5/4/2018,17801,11/16/2018,0.017708,0.002082,0.002223,,,1.017708,1.002082,1.002223
Construction Partners Inc,5/4/2018,17801,11/19/2018,-0.005118,-0.016575,-0.016643,,,0.994882,0.983425,0.983357
Construction Partners Inc,5/4/2018,17801,11/20/2018,0.004115,-0.017946,-0.018151,,,1.004115,0.982054,0.981849
Construction Partners Inc,5/4/2018,17801,11/21/2018,-0.003074,0.00622,0.003043,,,0.996926,1.00622,1.003043
Construction Partners Inc,5/4/2018,17801,11/23/2018,0.012333,-0.00556,-0.006555,,,1.012333,0.99444,0.993445
Construction Partners Inc,5/4/2018,17801,11/26/2018,0.053807,0.014598,0.015532,,,1.053807,1.014598,1.015532
Construction Partners Inc,5/4/2018,17801,11/27/2018,-0.029865,0.000513,0.003262,,,0.970135,1.000513,1.003262
Construction Partners Inc,5/4/2018,17801,11/28/2018,-0.000993,0.022306,0.022974,,,0.999007,1.022306,1.022974
Construction Partners Inc,5/4/2018,17801,11/29/2018,-0.015905,-0.001759,-0.002198,,,0.984095,0.998241,0.997802
Construction Partners Inc,5/4/2018,17801,11/30/2018,-0.011111,0.006818,0.008186,,,0.988889,1.006818,1.008186
Construction Partners Inc,5/4/2018,17801,12/3/2018,0.00715,0.011443,0.010941,0.027080837,7,1.00715,1.011443,1.010941
Construction Partners Inc,5/4/2018,17801,12/4/2018,-0.046653,-0.031761,-0.032365,,,0.953347,0.968239,0.967635
Construction Partners Inc,5/4/2018,17801,12/6/2018,0.031915,-0.001887,-0.001522,,,1.031915,0.998113,0.998478
Construction Partners Inc,5/4/2018,17801,12/7/2018,-0.072165,-0.021063,-0.02332,,,0.927835,0.978937,0.97668
